description,category,label
forensics confirmed she pulled out a gun,2,Weaponry
investigators found unlocked back door,0,Trace Evidence
detective uncovered victim was blackmailing the suspect via email,3,Digital Evidence
officers noticed dust disturbed on the shelf,0,Trace Evidence
evidence suggests arsenic found in the victims tea,1,Biological Evidence
blood at scene,1,Biological Evidence
detective uncovered blood spatter pattern on the wall,1,Biological Evidence
forensics confirmed displaced rug near the fireplace,0,Trace Evidence
crime scene showed suspects dna found under victims fingernails,1,Biological Evidence
officers noticed hair sample matches suspect dna profile,1,Biological Evidence
forensics confirmed suspect passport shows false identity,3,Digital Evidence
forensics confirmed they committed fraud,3,Digital Evidence
blood on the wall,1,Biological Evidence
crime scene showed murder weapon hidden under floorboards,2,Weaponry
crime scene showed trail of footsteps,0,Trace Evidence
evidence suggests hacked into the system,3,Digital Evidence
footprints found,0,Trace Evidence
investigators found hacked into the system,3,Digital Evidence
investigators found financial records tampered,3,Digital Evidence
lab results revealed he was holding a weapon,2,Weaponry
crime scene showed he has a knife,2,Weaponry
chair knocked over,0,Trace Evidence
crime scene showed saliva found on the discarded cigarette,1,Biological Evidence
blood on floor,1,Biological Evidence
victim poisoned,1,Biological Evidence
investigators found missing pen from the desk,0,Trace Evidence
officers noticed evidence of a forced entry,0,Trace Evidence
there is blood on the floor,1,Biological Evidence
officers noticed victim had been drugged,1,Biological Evidence
evidence suggests assault with a deadly weapon,2,Weaponry
knife at scene,2,Weaponry
evidence suggests toxicology confirms deliberate poisoning,1,Biological Evidence
officers noticed faint smell of perfume in the hallway,0,Trace Evidence
firearm recovered,2,Weaponry
financial crime,3,Digital Evidence
lab results revealed there is blood on the floor,1,Biological Evidence
lab results revealed knife was found at the scene,2,Weaponry
investigators found money was stolen,3,Digital Evidence
officers noticed armed robbery occurred,2,Weaponry
officers noticed signs of a struggle,0,Trace Evidence
crime scene showed illegal firearm found in suspects car,2,Weaponry
investigators found data was stolen,3,Digital Evidence
investigators found illegal firearm found in suspects car,2,Weaponry
officers noticed large amounts of stolen money,3,Digital Evidence
dna found,1,Biological Evidence
evidence suggests financial fraud linked to suspects account,3,Digital Evidence
chemical evidence,1,Biological Evidence
crime scene showed bomb was planted,2,Weaponry
forensics confirmed cyanide vial discovered in the bin,1,Biological Evidence
he has a gun,2,Weaponry
officers noticed financial fraud linked to suspects account,3,Digital Evidence
body found with stab wounds in the cellar,2,Weaponry
investigators found blood spatter pattern on the wall,1,Biological Evidence
crime scene showed overturned chair in the kitchen,0,Trace Evidence
forensics confirmed victim strangled with a rope,2,Weaponry
lab results revealed suspects dna found under victims fingernails,1,Biological Evidence
evidence suggests trail of footsteps,0,Trace Evidence
lab results revealed marks on the floor,0,Trace Evidence
investigators found fraud was committed,3,Digital Evidence
he was armed,2,Weaponry
detective uncovered he has a knife,2,Weaponry
forensics confirmed victim poisoned with rare toxin,1,Biological Evidence
crime scene showed gunshot wound,2,Weaponry
evidence suggests something is missing,0,Trace Evidence
crime scene showed he has a knife,2,Weaponry
clues found near the entrance,0,Trace Evidence
forensics confirmed weapon found nearby,2,Weaponry
evidence suggests victim was blackmailing the suspect via email,3,Digital Evidence
evidence suggests blood everywhere,1,Biological Evidence
lab results revealed trail of footsteps,0,Trace Evidence
he stole money,3,Digital Evidence
forensics confirmed unauthorized bank transfer at 3 AM,3,Digital Evidence
forced entry,0,Trace Evidence
detective uncovered emails were deleted,3,Digital Evidence
she had a knife,2,Weaponry
investigators found blood stains found on the kitchen floor,1,Biological Evidence
hidden camera recorded the crime,3,Digital Evidence
detective uncovered object out of place,0,Trace Evidence
forensics confirmed gunshot residue on the suspect hands,2,Weaponry
blood spatter pattern on the wall,1,Biological Evidence
window broken,0,Trace Evidence
investigators found open window in the hallway,0,Trace Evidence
credit card fraud,3,Digital Evidence
deleted text messages recovered from victims phone,3,Digital Evidence
lab results revealed victim poisoned with rare toxin,1,Biological Evidence
forensics confirmed dna sample collected,1,Biological Evidence
forensics confirmed victim was blackmailing the suspect via email,3,Digital Evidence
officers noticed emails were deleted,3,Digital Evidence
knife at scene,2,Weaponry
detective uncovered cyanide vial discovered in the bin,1,Biological Evidence
investigators found window was broken,0,Trace Evidence
detective uncovered weapon found nearby,2,Weaponry
body found with stab wounds in the cellar,2,Weaponry
officers noticed victim life insurance recently increased,3,Digital Evidence
dna found,1,Biological Evidence
victim poisoned,1,Biological Evidence
detective uncovered chemical substance found,1,Biological Evidence
evidence suggests suspect passport shows false identity,3,Digital Evidence
evidence suggests torn piece of fabric on the fence,0,Trace Evidence
lab results revealed broken coffee mug on the floor,0,Trace Evidence
evidence suggests unauthorized bank transfer at 3 AM,3,Digital Evidence
officers noticed hacked into the system,3,Digital Evidence
evidence suggests muddy footprints near the window,0,Trace Evidence
displaced rug near the fireplace,0,Trace Evidence
evidence suggests signs of a struggle,0,Trace Evidence
crime scene showed scratches on the door lock,0,Trace Evidence
investigators found dna evidence found,1,Biological Evidence
lab results revealed digital evidence recovered,3,Digital Evidence
money fraud,3,Digital Evidence
investigators found object out of place,0,Trace Evidence
he stole money,3,Digital Evidence
crime scene showed missing pen from the desk,0,Trace Evidence
lab results revealed marks on the floor,0,Trace Evidence
detective uncovered muddy footprints near the window,0,Trace Evidence
evidence suggests unlocked back door,0,Trace Evidence
detective uncovered strangled victim found in the library,2,Weaponry
evidence suggests arsenic found in the victims tea,1,Biological Evidence
officers noticed cyanide vial discovered in the bin,1,Biological Evidence
investigators found dna evidence found,1,Biological Evidence
evidence suggests misplaced keys on the kitchen counter,0,Trace Evidence
detective uncovered suspect passport shows false identity,3,Digital Evidence
lab results revealed window was broken,0,Trace Evidence
detective uncovered faint smell of perfume in the hallway,0,Trace Evidence
marks on the floor,0,Trace Evidence
lab results revealed chair knocked over,0,Trace Evidence
detective uncovered dna evidence found,1,Biological Evidence
officers noticed emails were deleted,3,Digital Evidence
evidence suggests bomb was planted,2,Weaponry
investigators found assault with a deadly weapon,2,Weaponry
lab results revealed door was left open,0,Trace Evidence
muddy footprints near the window,0,Trace Evidence
he has a gun,2,Weaponry
crime scene showed fraud was committed,3,Digital Evidence
crime scene showed bank account was hacked,3,Digital Evidence
investigators found murder weapon hidden under floorboards,2,Weaponry
lab results revealed firearm recovered,2,Weaponry
evidence suggests firearm recovered,2,Weaponry
detective uncovered money was stolen,3,Digital Evidence
investigators found signs of a struggle,0,Trace Evidence
she had a knife,2,Weaponry
financial crime,3,Digital Evidence
evidence suggests suspect carrying a weapon,2,Weaponry
officers noticed financial fraud linked to suspects account,3,Digital Evidence
lab results revealed dna sample collected,1,Biological Evidence
officers noticed chemical substance found,1,Biological Evidence
forensics confirmed unknown biological fluid on the bedsheets,1,Biological Evidence
investigators found a loaded gun was found,2,Weaponry
investigators found blood stains found on the kitchen floor,1,Biological Evidence
investigators found missing pen from the desk,0,Trace Evidence
forensics confirmed suspect carrying a weapon,2,Weaponry
blood on floor,1,Biological Evidence
crime scene showed body found with stab wounds in the cellar,2,Weaponry
detective uncovered pistol found at scene,2,Weaponry
poison used,1,Biological Evidence
officers noticed victim was poisoned,1,Biological Evidence
chair knocked over,0,Trace Evidence
crime scene showed heavy blunt object with blood found,2,Weaponry
officers noticed he stole money,3,Digital Evidence
officers noticed calendar page torn off,0,Trace Evidence
forced entry,0,Trace Evidence
officers noticed evidence of a forced entry,0,Trace Evidence
forensics confirmed victim was blackmailing the suspect via email,3,Digital Evidence
crime scene showed money was stolen,3,Digital Evidence
detective uncovered muddy footprints near the window,0,Trace Evidence
lab results revealed body found with stab wounds in the cellar,2,Weaponry
blood on floor,1,Biological Evidence
officers noticed toxin detected,1,Biological Evidence
officers noticed they committed fraud,3,Digital Evidence
detective uncovered chemical substance found,1,Biological Evidence
investigators found victim strangled with a rope,2,Weaponry
forensics confirmed rifle discovered,2,Weaponry
lab results revealed missing pen from the desk,0,Trace Evidence
lab results revealed suspects fingerprints on the murder weapon,2,Weaponry
detective uncovered blood was found at the scene,1,Biological Evidence
chemical evidence,1,Biological Evidence
crime scene showed debris in the hallway,0,Trace Evidence
forensics confirmed stabbed with a knife,2,Weaponry
officers noticed blood was found at the scene,1,Biological Evidence
lab results revealed money was stolen,3,Digital Evidence
crime scene showed debris in the hallway,0,Trace Evidence
evidence suggests calendar page torn off,0,Trace Evidence
forensics confirmed blood on the wall,1,Biological Evidence
chair knocked over,0,Trace Evidence
weapon at scene,2,Weaponry
officers noticed muddy footprints near the window,0,Trace Evidence
lab results revealed window was broken,0,Trace Evidence
forensics confirmed chemical substance found,1,Biological Evidence
overturned chair in the kitchen,0,Trace Evidence
detective uncovered scratches on the door lock,0,Trace Evidence
evidence of a forced entry,0,Trace Evidence
forensics confirmed unauthorized bank transfer at 3 AM,3,Digital Evidence
forensics confirmed forged signature on the victims will,3,Digital Evidence
he stole money,3,Digital Evidence
lab results revealed he shot the victim,2,Weaponry
crime scene showed victim was poisoned,1,Biological Evidence
investigators found embezzled funds and money fraud,3,Digital Evidence
lab results revealed object out of place,0,Trace Evidence
investigators found cigarette butt near the entrance,0,Trace Evidence
lab results revealed blood stains found on the kitchen floor,1,Biological Evidence
lab results revealed traces of poison,1,Biological Evidence
forensics confirmed biological material recovered,1,Biological Evidence
biological material recovered,1,Biological Evidence
firearm recovered,2,Weaponry
evidence suggests a loaded gun was found,2,Weaponry
detective uncovered spent shell casings found at the scene,2,Weaponry
secret compartment found with stolen documents,3,Digital Evidence
lab results revealed overturned chair in the kitchen,0,Trace Evidence
officers noticed open window in the hallway,0,Trace Evidence
saliva found on the discarded cigarette,1,Biological Evidence
forensics confirmed suspect lied about alibi on camera,3,Digital Evidence
officers noticed missing pen from the desk,0,Trace Evidence
officers noticed suspect carrying a weapon,2,Weaponry
firearm recovered,2,Weaponry
detective uncovered dust disturbed on the shelf,0,Trace Evidence
suspect lied about alibi on camera,3,Digital Evidence
detective uncovered signs of a struggle,0,Trace Evidence
investigators found blood stains found on the kitchen floor,1,Biological Evidence
gun found,2,Weaponry
victim poisoned with rare toxin,1,Biological Evidence
scratches on the door lock,0,Trace Evidence
evidence suggests knife was found at the scene,2,Weaponry
lab results revealed data was stolen,3,Digital Evidence
investigators found hacked into the system,3,Digital Evidence
crime scene showed door was left open,0,Trace Evidence
evidence suggests displaced rug near the fireplace,0,Trace Evidence
crime scene showed victim was blackmailing the suspect via email,3,Digital Evidence
lab results revealed hidden camera recorded the crime,3,Digital Evidence
detective uncovered body found with stab wounds in the cellar,2,Weaponry
blood was found at the scene,1,Biological Evidence
lab results revealed cigarette butt near the entrance,0,Trace Evidence
lab results revealed chair knocked over,0,Trace Evidence
lab results revealed bloody knife found in the dumpster,2,Weaponry
forensics confirmed blood on the wall,1,Biological Evidence
toxicology confirms deliberate poisoning,1,Biological Evidence
forensics confirmed suspects dna found under victims fingernails,1,Biological Evidence
detective uncovered poison detected in the wine glass,1,Biological Evidence
crime scene showed strangled victim found in the library,2,Weaponry
detective uncovered heavy blunt object with blood found,2,Weaponry
forensics confirmed dna sample collected,1,Biological Evidence
detective uncovered arsenic found in the victims tea,1,Biological Evidence
investigators found explosive device found,2,Weaponry
forensics confirmed open window in the hallway,0,Trace Evidence
investigators found victim life insurance recently increased,3,Digital Evidence
victim was poisoned,1,Biological Evidence
he was armed,2,Weaponry
he was armed,2,Weaponry
detective uncovered traces of chloroform on the rag,1,Biological Evidence
detective uncovered armed robbery occurred,2,Weaponry
evidence suggests blood on the wall,1,Biological Evidence
lab results revealed unknown biological fluid on the bedsheets,1,Biological Evidence
scratches on the door lock,0,Trace Evidence
officers noticed broken coffee mug on the floor,0,Trace Evidence
investigators found unauthorized bank transfer at 3 AM,3,Digital Evidence
crime scene showed blood on the wall,1,Biological Evidence
forensics confirmed poison detected in the wine glass,1,Biological Evidence
door was open,0,Trace Evidence
evidence suggests hair sample matches suspect dna profile,1,Biological Evidence
crime scene showed they found a gun,2,Weaponry
investigators found online transaction suspicious,3,Digital Evidence
officers noticed dna evidence found,1,Biological Evidence
door was open,0,Trace Evidence
evidence suggests something is missing,0,Trace Evidence
officers noticed door was left open,0,Trace Evidence
officers noticed victim was poisoned,1,Biological Evidence
evidence suggests calendar page torn off,0,Trace Evidence
crime scene showed traces of poison,1,Biological Evidence
officers noticed object out of place,0,Trace Evidence
chair knocked over,0,Trace Evidence
detective uncovered suspects dna found under victims fingernails,1,Biological Evidence
detective uncovered fraud was committed,3,Digital Evidence
investigators found online transaction suspicious,3,Digital Evidence
forensics confirmed suspects dna found under victims fingernails,1,Biological Evidence
detective uncovered bank account was hacked,3,Digital Evidence
evidence suggests blood spatter pattern on the wall,1,Biological Evidence
blood spatter pattern on the wall,1,Biological Evidence
lab results revealed arsenic found in the victims tea,1,Biological Evidence
lab results revealed hacked into the system,3,Digital Evidence
crime scene showed muddy footprints near the window,0,Trace Evidence
officers noticed scratches on the door lock,0,Trace Evidence
detective uncovered blood was found at the scene,1,Biological Evidence
evidence suggests unlocked back door,0,Trace Evidence
lab results revealed evidence of a forced entry,0,Trace Evidence
money fraud,3,Digital Evidence
unauthorized bank transfer at 3 AM,3,Digital Evidence
lab results revealed suspect lied about alibi on camera,3,Digital Evidence
evidence suggests he was holding a weapon,2,Weaponry
detective uncovered faint smell of perfume in the hallway,0,Trace Evidence
wet umbrella near the coat rack,0,Trace Evidence
forensics confirmed blood was found at the scene,1,Biological Evidence
signs of a struggle,0,Trace Evidence
investigators found strangled victim found in the library,2,Weaponry
lab results revealed victim had been drugged,1,Biological Evidence
evidence suggests unknown biological fluid on the bedsheets,1,Biological Evidence
victim poisoned,1,Biological Evidence
lab results revealed murder weapon hidden under floorboards,2,Weaponry
lab results revealed a loaded gun was found,2,Weaponry
victim poisoned,1,Biological Evidence
crime scene showed rifle discovered,2,Weaponry
lab results revealed he shot the victim,2,Weaponry
forensics confirmed chair knocked over,0,Trace Evidence
officers noticed broken coffee mug on the floor,0,Trace Evidence
forensics confirmed fraud was committed,3,Digital Evidence
crime scene showed illegal firearm found in suspects car,2,Weaponry
cyanide vial discovered in the bin,1,Biological Evidence
detective uncovered illegal firearm found in suspects car,2,Weaponry
blood found,1,Biological Evidence
detective uncovered emails were deleted,3,Digital Evidence
suspect armed,2,Weaponry
officers noticed traces of chloroform on the rag,1,Biological Evidence
detective uncovered they committed fraud,3,Digital Evidence
stabbed with a knife,2,Weaponry
officers noticed bomb was planted,2,Weaponry
lab results revealed fraud was committed,3,Digital Evidence
detective uncovered scratches on the door lock,0,Trace Evidence
evidence suggests fraud was committed,3,Digital Evidence
hacked into the system,3,Digital Evidence
lab results revealed explosive device found,2,Weaponry
footprints at the scene,0,Trace Evidence
lab results revealed deleted text messages recovered from victims phone,3,Digital Evidence
officers noticed dna sample collected,1,Biological Evidence
evidence suggests calendar page torn off,0,Trace Evidence
lab results revealed fraud was committed,3,Digital Evidence
detective uncovered evidence of money fraud on the computer,3,Digital Evidence
weapon at scene,2,Weaponry
lab results revealed object out of place,0,Trace Evidence
evidence suggests digital evidence recovered,3,Digital Evidence
crime scene showed hidden camera recorded the crime,3,Digital Evidence
evidence suggests hair sample matches suspect dna profile,1,Biological Evidence
officers noticed door was left open,0,Trace Evidence
crime scene showed unlocked back door,0,Trace Evidence
forced entry,0,Trace Evidence
data was stolen,3,Digital Evidence
lab results revealed data was stolen,3,Digital Evidence
forensics confirmed firearm recovered,2,Weaponry
victim shows signs of blunt force trauma,2,Weaponry
unauthorized bank transfer at 3 AM,3,Digital Evidence
lab results revealed toxin detected,1,Biological Evidence
unlocked back door,0,Trace Evidence
detective uncovered chair knocked over,0,Trace Evidence
suspect armed,2,Weaponry
officers noticed marks on the floor,0,Trace Evidence
investigators found unauthorized bank transfer at 3 AM,3,Digital Evidence
he stole money,3,Digital Evidence
bank fraud,3,Digital Evidence
blood at scene,1,Biological Evidence
footprints at the scene,0,Trace Evidence
investigators found victim life insurance recently increased,3,Digital Evidence
forensics confirmed online transaction suspicious,3,Digital Evidence
evidence suggests large amounts of stolen money,3,Digital Evidence
officers noticed dna evidence found,1,Biological Evidence
lab results revealed large amounts of stolen money,3,Digital Evidence
investigators found evidence of money fraud on the computer,3,Digital Evidence
weapon at scene,2,Weaponry
lab results revealed stabbed with a knife,2,Weaponry
forensics confirmed toxicology confirms deliberate poisoning,1,Biological Evidence
crime scene showed murder weapon hidden under floorboards,2,Weaponry
officers noticed signs of a struggle,0,Trace Evidence
evidence suggests unlocked back door,0,Trace Evidence
suspect lied about alibi on camera,3,Digital Evidence
forensics confirmed cigarette butt near the entrance,0,Trace Evidence
detective uncovered wet umbrella near the coat rack,0,Trace Evidence
door was open,0,Trace Evidence
signs of struggle,0,Trace Evidence
officers noticed suspect passport shows false identity,3,Digital Evidence
detective uncovered he shot the victim,2,Weaponry
investigators found footprints at the scene,0,Trace Evidence
evidence suggests armed robbery occurred,2,Weaponry
investigators found he attacked with a weapon,2,Weaponry
lab results revealed saliva found on the discarded cigarette,1,Biological Evidence
evidence suggests victim poisoned with rare toxin,1,Biological Evidence
investigators found debris in the hallway,0,Trace Evidence
crime scene showed victim poisoned with rare toxin,1,Biological Evidence
forensics confirmed victim poisoned with rare toxin,1,Biological Evidence
lab results revealed suspects fingerprints on the murder weapon,2,Weaponry
she had a knife,2,Weaponry
bank fraud,3,Digital Evidence
officers noticed explosive residue on suspects jacket,2,Weaponry
lab results revealed chemical substance found,1,Biological Evidence
forensics confirmed there is blood on the floor,1,Biological Evidence
evidence suggests dna match confirmed,1,Biological Evidence
lab results revealed bloody knife found in the dumpster,2,Weaponry
crime scene showed overturned chair in the kitchen,0,Trace Evidence
suspect armed,2,Weaponry
detective uncovered traces of poison,1,Biological Evidence
detective uncovered victim shows signs of blunt force trauma,2,Weaponry
forensics confirmed traces of chloroform on the rag,1,Biological Evidence
investigators found unlocked back door,0,Trace Evidence
officers noticed massive credit card fraud detected,3,Digital Evidence
evidence suggests bank account was hacked,3,Digital Evidence
lab results revealed surveillance footage deleted remotely,3,Digital Evidence
officers noticed camera footage exists,3,Digital Evidence
detective uncovered camera footage exists,3,Digital Evidence
officers noticed emails were deleted,3,Digital Evidence
officers noticed victim strangled with a rope,2,Weaponry
crime scene showed broken coffee mug on the floor,0,Trace Evidence
he stole money,3,Digital Evidence
heavy blunt object with blood found,2,Weaponry
evidence suggests hacked into the system,3,Digital Evidence
forensics confirmed fraud was committed,3,Digital Evidence
forensics confirmed he attacked with a weapon,2,Weaponry
forced entry,0,Trace Evidence
suspect armed,2,Weaponry
lab results revealed victim shows signs of blunt force trauma,2,Weaponry
cigarette butt near the entrance,0,Trace Evidence
forensics confirmed explosive residue on suspects jacket,2,Weaponry
officers noticed suspect carrying a weapon,2,Weaponry
evidence suggests bomb was planted,2,Weaponry
forensics confirmed suspects fingerprints on the murder weapon,2,Weaponry
lab results revealed he was holding a weapon,2,Weaponry
forensics confirmed dust disturbed on the shelf,0,Trace Evidence
forensics confirmed heavy blunt object with blood found,2,Weaponry
lab results revealed debris in the hallway,0,Trace Evidence
he has a gun,2,Weaponry
suspects fingerprints on the murder weapon,2,Weaponry
investigators found wet umbrella near the coat rack,0,Trace Evidence
officers noticed a loaded gun was found,2,Weaponry
evidence suggests digital evidence recovered,3,Digital Evidence
investigators found strangled victim found in the library,2,Weaponry
detective uncovered dust disturbed on the shelf,0,Trace Evidence
detective uncovered rifle discovered,2,Weaponry
crime scene showed suspect lied about alibi on camera,3,Digital Evidence
blood spatter pattern on the wall,1,Biological Evidence
chair knocked over,0,Trace Evidence
officers noticed dna match confirmed,1,Biological Evidence
money fraud,3,Digital Evidence
marks on the floor,0,Trace Evidence
forensics confirmed knife was found at the scene,2,Weaponry
detective uncovered he attacked with a weapon,2,Weaponry
investigators found toxicology confirms deliberate poisoning,1,Biological Evidence
victim poisoned,1,Biological Evidence
firearm recovered,2,Weaponry
crime scene showed object out of place,0,Trace Evidence
evidence suggests suspect had a gun,2,Weaponry
embezzled funds and money fraud,3,Digital Evidence
crime scene showed calendar page torn off,0,Trace Evidence
crime scene showed gunshot wound,2,Weaponry
blood on the wall,1,Biological Evidence
forensics confirmed murder weapon hidden under floorboards,2,Weaponry
evidence suggests body found with stab wounds in the cellar,2,Weaponry
bank fraud,3,Digital Evidence
blood on floor,1,Biological Evidence
officers noticed heavy blunt object with blood found,2,Weaponry
officers noticed traces of poison,1,Biological Evidence
investigators found marks on the floor,0,Trace Evidence
door was open,0,Trace Evidence
officers noticed signs of a struggle,0,Trace Evidence
financial crime,3,Digital Evidence
victim was shot,2,Weaponry
officers noticed trail of footsteps,0,Trace Evidence
investigators found victim was shot,2,Weaponry
detective uncovered faint smell of perfume in the hallway,0,Trace Evidence
he was armed,2,Weaponry
evidence suggests fraud was committed,3,Digital Evidence
investigators found strangled victim found in the library,2,Weaponry
investigators found window was broken,0,Trace Evidence
blood found,1,Biological Evidence
forensics confirmed dna evidence found,1,Biological Evidence
cyanide vial discovered in the bin,1,Biological Evidence
lab results revealed victim had been drugged,1,Biological Evidence
detective uncovered evidence of a forced entry,0,Trace Evidence
evidence suggests illegal firearm found in suspects car,2,Weaponry
officers noticed dust disturbed on the shelf,0,Trace Evidence
investigators found he has a knife,2,Weaponry
officers noticed embezzled funds and money fraud,3,Digital Evidence
forensics confirmed gun was discovered,2,Weaponry
crime scene showed victim was shot,2,Weaponry
forensics confirmed weapon found nearby,2,Weaponry
lab results revealed pistol found at scene,2,Weaponry
detective uncovered saliva found on the discarded cigarette,1,Biological Evidence
detective uncovered unauthorized bank transfer at 3 AM,3,Digital Evidence
investigators found camera footage exists,3,Digital Evidence
evidence suggests victim was blackmailing the suspect via email,3,Digital Evidence
investigators found biological material recovered,1,Biological Evidence
clues found near the entrance,0,Trace Evidence
signs of struggle,0,Trace Evidence
dna sample collected,1,Biological Evidence
crime scene showed footprints at the scene,0,Trace Evidence
forensics confirmed blood everywhere,1,Biological Evidence
detective uncovered poison detected in the wine glass,1,Biological Evidence
officers noticed open window in the hallway,0,Trace Evidence
misplaced keys on the kitchen counter,0,Trace Evidence
investigators found he has a gun,2,Weaponry
detective uncovered evidence of money fraud on the computer,3,Digital Evidence
evidence suggests blood stains found on the kitchen floor,1,Biological Evidence
detective uncovered suspect lied about alibi on camera,3,Digital Evidence
crime scene showed armed suspect,2,Weaponry
forensics confirmed poison was used,1,Biological Evidence
forensics confirmed they committed fraud,3,Digital Evidence
detective uncovered large amounts of stolen money,3,Digital Evidence
detective uncovered stabbed with a knife,2,Weaponry
lab results revealed data was stolen,3,Digital Evidence
investigators found traces of chloroform on the rag,1,Biological Evidence
evidence suggests they found a gun,2,Weaponry
lab results revealed blood was found at the scene,1,Biological Evidence
bank fraud,3,Digital Evidence
forensics confirmed victim was poisoned,1,Biological Evidence
lab results revealed bank account was hacked,3,Digital Evidence
crime scene showed dna sample collected,1,Biological Evidence
detective uncovered he stole money,3,Digital Evidence
forensics confirmed bank account was hacked,3,Digital Evidence
investigators found he has a gun,2,Weaponry
forensics confirmed she pulled out a gun,2,Weaponry
investigators found hair sample matches suspect dna profile,1,Biological Evidence
forensics confirmed clues found near the entrance,0,Trace Evidence
officers noticed strangled victim found in the library,2,Weaponry
detective uncovered hidden camera recorded the crime,3,Digital Evidence
evidence suggests blood everywhere,1,Biological Evidence
evidence suggests embezzled funds and money fraud,3,Digital Evidence
investigators found she pulled out a gun,2,Weaponry
officers noticed blood on the wall,1,Biological Evidence
lab results revealed assault with a deadly weapon,2,Weaponry
evidence suggests suspect had a gun,2,Weaponry
bank fraud,3,Digital Evidence
forensics confirmed poison was used,1,Biological Evidence
weapon at scene,2,Weaponry
crime scene showed financial fraud linked to suspects account,3,Digital Evidence
crime scene showed explosive device found,2,Weaponry
gun found,2,Weaponry
investigators found large amounts of stolen money,3,Digital Evidence
forensics confirmed body found with stab wounds in the cellar,2,Weaponry
investigators found traces of poison,1,Biological Evidence
evidence suggests suspect had a gun,2,Weaponry
fraud was committed,3,Digital Evidence
he has a gun,2,Weaponry
forensics confirmed victim shows signs of blunt force trauma,2,Weaponry
officers noticed firearm recovered,2,Weaponry
evidence suggests chemical substance found,1,Biological Evidence
crime scene showed unlocked back door,0,Trace Evidence
crime scene showed suspect passport shows false identity,3,Digital Evidence
he stole money,3,Digital Evidence
officers noticed debris in the hallway,0,Trace Evidence
forged signature on the victims will,3,Digital Evidence
evidence suggests she had a knife,2,Weaponry
blood everywhere,1,Biological Evidence
forensics confirmed victim was poisoned,1,Biological Evidence
crime scene showed chemical substance found,1,Biological Evidence
forensics confirmed dna match confirmed,1,Biological Evidence
lab results revealed traces of poison,1,Biological Evidence
forensics confirmed unlocked back door,0,Trace Evidence
lab results revealed he is armed with a gun,2,Weaponry
officers noticed displaced rug near the fireplace,0,Trace Evidence
forensics confirmed victim poisoned with rare toxin,1,Biological Evidence
detective uncovered blood stains found on the kitchen floor,1,Biological Evidence
detective uncovered suspect lied about alibi on camera,3,Digital Evidence
detective uncovered wet umbrella near the coat rack,0,Trace Evidence
victim had been drugged,1,Biological Evidence
lab results revealed there is blood on the floor,1,Biological Evidence
deleted text messages recovered from victims phone,3,Digital Evidence
he stole money,3,Digital Evidence
crime scene showed unlocked back door,0,Trace Evidence
detective uncovered victim was blackmailing the suspect via email,3,Digital Evidence
evidence suggests secret compartment found with stolen documents,3,Digital Evidence
detective uncovered embezzled funds and money fraud,3,Digital Evidence
detective uncovered bomb was planted,2,Weaponry
forensics confirmed suspect had a gun,2,Weaponry
lab results revealed he is armed with a gun,2,Weaponry
evidence suggests financial records tampered,3,Digital Evidence
evidence suggests hidden camera recorded the crime,3,Digital Evidence
suspects fingerprints on the murder weapon,2,Weaponry
crime scene showed bank account was hacked,3,Digital Evidence
crime scene showed calendar page torn off,0,Trace Evidence
officers noticed object out of place,0,Trace Evidence
a loaded gun was found,2,Weaponry
lab results revealed bank account was hacked,3,Digital Evidence
lab results revealed chemical substance found,1,Biological Evidence
investigators found knife was found at the scene,2,Weaponry
crime scene showed toxin detected,1,Biological Evidence
evidence of money fraud on the computer,3,Digital Evidence
lab results revealed chair knocked over,0,Trace Evidence
crime scene showed weapon found nearby,2,Weaponry
lab results revealed he attacked with a weapon,2,Weaponry
detective uncovered he shot the victim,2,Weaponry
forensics confirmed armed suspect,2,Weaponry
lab results revealed gunshot wound,2,Weaponry
officers noticed blood stains found on the kitchen floor,1,Biological Evidence
evidence suggests saliva found on the discarded cigarette,1,Biological Evidence
lab results revealed displaced rug near the fireplace,0,Trace Evidence
crime scene showed dna sample collected,1,Biological Evidence
digital evidence recovered,3,Digital Evidence
crime scene showed there is blood on the floor,1,Biological Evidence
forensics confirmed poison was used,1,Biological Evidence
evidence suggests cigarette butt near the entrance,0,Trace Evidence
evidence suggests misplaced keys on the kitchen counter,0,Trace Evidence
detective uncovered embezzled funds and money fraud,3,Digital Evidence
wet umbrella near the coat rack,0,Trace Evidence
lab results revealed gunshot residue on the suspect hands,2,Weaponry
crime scene showed suspects dna found under victims fingernails,1,Biological Evidence
financial records tampered,3,Digital Evidence
officers noticed broken coffee mug on the floor,0,Trace Evidence
evidence suggests blood stains found on the kitchen floor,1,Biological Evidence
detective uncovered victim poisoned with rare toxin,1,Biological Evidence
forced entry,0,Trace Evidence
blood was found at the scene,1,Biological Evidence
evidence suggests encrypted messages found on suspects phone,3,Digital Evidence
officers noticed he attacked with a weapon,2,Weaponry
officers noticed displaced rug near the fireplace,0,Trace Evidence
forensics confirmed displaced rug near the fireplace,0,Trace Evidence
forensics confirmed suspect passport shows false identity,3,Digital Evidence
investigators found wet umbrella near the coat rack,0,Trace Evidence
investigators found broken coffee mug on the floor,0,Trace Evidence
investigators found firearm recovered,2,Weaponry
chair knocked over,0,Trace Evidence
evidence suggests torn piece of fabric on the fence,0,Trace Evidence
lab results revealed debris in the hallway,0,Trace Evidence
investigators found armed suspect,2,Weaponry
